time,tier,map,ban,matchid
1/18/2020 5:50:50 PM,23,Ranked Bazaar,Tyra,927246700
1/18/2020 5:50:50 PM,23,Ranked Bazaar,Skye,927246700
1/18/2020 5:50:50 PM,23,Ranked Bazaar,Zhin,927246700
1/18/2020 5:50:50 PM,23,Ranked Bazaar,Strix,927246700
1/2/2020 11:37:06 PM,23,Ranked Ascension Peak,Strix,920592050
1/2/2020 11:37:06 PM,23,Ranked Ascension Peak,Atlas,920592050
1/2/2020 11:37:06 PM,23,Ranked Ascension Peak,Jenos,920592050
1/2/2020 11:37:06 PM,23,Ranked Ascension Peak,Khan,920592050
1/14/2020 12:43:38 AM,23,Ranked Brightmarsh,Willo,925313275
1/14/2020 12:43:38 AM,23,Ranked Brightmarsh,Drogoz,925313275
1/14/2020 12:43:38 AM,23,Ranked Brightmarsh,Dredge,925313275
1/14/2020 12:43:38 AM,23,Ranked Brightmarsh,Skye,925313275
1/15/2020 9:39:59 AM,23,Ranked Frog Isle,Koga,925826710
1/15/2020 9:39:59 AM,23,Ranked Frog Isle,Drogoz,925826710
1/15/2020 9:39:59 AM,23,Ranked Frog Isle,Jenos,925826710
1/15/2020 9:39:59 AM,23,Ranked Frog Isle,Atlas,925826710
2/1/2020 4:12:24 AM,23,Ranked Ice Mines,Strix,932826456
2/1/2020 4:12:24 AM,23,Ranked Ice Mines,Zhin,932826456
2/1/2020 4:12:24 AM,23,Ranked Ice Mines,Koga,932826456
2/1/2020 4:12:24 AM,23,Ranked Ice Mines,Jenos,932826456
1/24/2020 1:19:46 AM,23,Ranked Bazaar,Terminus,929490782
1/24/2020 1:19:46 AM,23,Ranked Bazaar,Makoa,929490782
1/24/2020 1:19:46 AM,23,Ranked Bazaar,Strix,929490782
1/24/2020 1:19:46 AM,23,Ranked Bazaar,Willo,929490782
1/5/2020 4:57:34 PM,23,Ranked Serpent Beach,Strix,921688698
1/5/2020 4:57:34 PM,23,Ranked Serpent Beach,Atlas,921688698
1/5/2020 4:57:34 PM,23,Ranked Serpent Beach,Willo,921688698
1/5/2020 4:57:34 PM,23,Ranked Serpent Beach,Makoa,921688698
2/1/2020 9:34:08 PM,23,Ranked Jaguar Falls,Zhin,933195295
2/1/2020 9:34:08 PM,23,Ranked Jaguar Falls,Torvald,933195295
2/1/2020 9:34:08 PM,23,Ranked Jaguar Falls,Makoa,933195295
2/1/2020 9:34:08 PM,23,Ranked Jaguar Falls,Willo,933195295
